Generated using GEOMAGIA50.v3.3 on Oct/06/2022,,,,,,,,,,,,,,,,,,,
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],VADM[E22_AmE2],SigmaVADM[E22_AmE2],SiteLat[deg.],SiteLon[deg.],ArcheoVolcanic,,,,,,,,,,,,
-34050,34050,34050,8.09,0.05,9.7736,255.7212,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.55,0.05,9.8333,255.6876,Volcanic,,,,,,,,,,,,
-34050,34050,34050,3.11,0.07,9.529,255.778,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.05,0.07,9.608,255.7459,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.19,0.07,9.8172,255.7409,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.56,0.07,9.8271,255.7105,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.8,0.07,9.8389,255.7089,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.47,0.07,9.8711,255.7037,Volcanic,,,,,,,,,,,,
-34050,34050,34050,1.74,0.1,9.5215,255.7874,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.91,0.1,9.7742,255.7204,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.67,0.1,9.8253,255.699,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.73,0.1,9.8354,255.7,Volcanic,,,,,,,,,,,,
-34050,34050,34050,1.83,0.1,9.8585,255.6698,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.71,0.1,9.9217,255.697,Volcanic,,,,,,,,,,,,
-34050,34050,34050,3.46,0.12,9.5292,255.7742,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.39,0.12,9.7702,255.7208,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.18,0.12,9.7947,255.717,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.49,0.12,9.8672,255.7032,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.38,0.12,9.9103,255.6995,Volcanic,,,,,,,,,,,,
-34050,34050,34050,3.7,0.15,9.5285,255.7825,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.16,0.15,9.7861,255.7174,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.63,0.15,9.7947,255.7151,Volcanic,,,,,,,,,,,,
